SIGNAL_NAME,Lat,Lng
UP MID L XING,2124.71830,7954.56520
UP MID A:DJA103,2124.56150,7953.99810
UP MID SA G:DJA101,2124.32590,7953.15910
UP MID L XING,2124.29200,7953.04070
UP MID A:DJAA99,2124.15700,7952.55150
UP MID SA G:DJA97,2123.96450,7951.87860
UP MID L XING,2123.91840,7951.75090
UP MID A:DJA95,2123.72180,7951.37940
UP MID A:DJA93,2123.24590,7950.88970
UP MID MNU HOME,2122.59570,7950.34950
UP MID MNU STR,2122.22070,7949.91570
UP MID L XING,2122.13480,7949.81090
UP MID A:DJA91,2121.72710,7949.53560
UP MID A:DJA89,2121.36700,7949.06320
UP MID A:DJA87,2121.05760,7948.57870
UP MID A:DJA85,2120.74930,7948.10350
UP MID A:DJA83,2120.62610,7947.55370
UP MID SA G:DJAA81,2120.76540,7946.84200
UP MID L XING,2120.79040,7946.73290
UP MID DJ OPEN,2120.80000,7946.36900
UP MID A:DJA79,2120.78480,7946.11700
UP MID TMR HOME,2120.76120,7945.65480
UP MID L XING,2120.65430,7945.28860
UP MID TMR STR,2120.35920,7944.82760
UP MID L XING,2120.22270,7944.71460
UP MID TMR ADV STR,2120.07210,7944.64680
UP MID A:DJA77,2119.57920,7944.42830
UP MID SA G:DJA75,2119.08690,7944.21280
UP MID L XING,2118.98400,7944.16760
UP MID A:DJA73,2118.23190,7943.83970
UP MID SA G:DJA71,2117.64830,7943.58580
UP MID L XING,2117.53870,7943.53840
UP MID A:DJA69,2117.04860,7943.32560
UP MID A:DJA67,2116.55440,7943.11040
UP MID K HOME,2116.00310,7942.87040
UP MID L XING,2115.85160,7942.80220
UP MID K STR,2115.29410,7942.55430
UP MID K ADV STR,2115.16480,7942.48690
UP MID SA G:DJA63,2114.56030,7941.80410
UP MID L XING,2114.47360,7941.68270
UP MID A:DJA61,2114.19580,7940.86160
UP MID DJ OPEN,2114.25530,7940.46120
UP MID A:DJA59,2114.30770,7940.10110
UP MID BRD HOME,2114.39080,7939.49130
UP MID BRD STR,2114.30950,7938.70400
UP MID BRD ADV STR,2114.28910,7938.55220
UP MID A:DJA57,2114.20130,7937.79280
UP MID A:DJA55,2114.12720,7937.10650
UP MID A:DJA53,2114.06370,7936.52990
UP MID A:DJA51,2114.06280,7935.94000
