SIGNAL_NAME,Lat,Lng
DN MID A:DJA178,2119.00150,8026.29560
DN MID A:DJA180,2118.66140,8026.75560
DN MID L XING,2118.59130,8026.85110
DN MID A:DJA182,2118.37280,8027.24900
DN MID A:DJA184,2118.14740,8027.69630
DN MID L XING,2118.11850,8027.79660
DN MID A:DJA186,2118.09870,8028.31530
DN MID SKS HOME,2118.09420,8028.77500
DN MID L XING,2118.09280,8028.88370
DN MID L XING,2118.08470,8029.29680
DN MID SKS STR,2118.07520,8029.79910
DN MID DKS STR,2116.06810,8035.03270
DN MID DKS ADV STR,2115.94370,8035.15360
DN MID A:DJA202,2115.32640,8035.84330
DN MID SA G:DJA204,2114.82310,8036.04050
DN MID L XING,2114.75230,8036.07630
DN MID A:DJA206,2114.35950,8036.38830
DN MID A:DJA208,2113.91100,8036.74340
DN MID BTL HOME,2113.56030,8037.03000
DN MID L XING,2113.16830,8037.34690
DN MID BTL STR,2113.03090,8037.81450
DN MID BTL ADV STR,2112.97020,8038.07150
DN MID A:DJA210,2112.66080,8038.51810
DN MID A:DJA212,2112.35720,8039.04010
DN MID A:DJA214,2111.85910,8039.49850
DN MID SA G:DJA216,2111.75190,8040.18740
DN MID L XING,2111.79330,8040.29410
DN MID A:DJA218,2111.63220,8040.83570
DN MID DJ OPEN,2111.48770,8041.03020
DN MID PJB HOME,2111.28440,8041.30600
DN MID PJB STR,2110.84530,8041.88710
DN MID PJB ADV STR,2110.76920,8041.99770
DN MID SA G:DJA284,2110.49400,8042.38300
DN MID L XING,2110.44150,8042.47660
DN MID SA G:DJA286,2110.32240,8043.05260
DN MID L XING,2110.30870,8043.19230
DN MID A:DJA288,2110.61100,8043.78370
DN MID A:DJA290,2110.85030,8044.31160
DN MID DGG HOME,2111.10370,8044.93000
DN MID DGG STR,2111.14000,8045.72300
DN MID DGG ADV STR,2111.11500,8046.13100
DN MID SA G:DJA292,2111.08800,8046.97000
DN MID L XING,2111.08400,8047.10000
DN MID A:DJA294,2111.05900,8047.85100
DN MID SA G:DJA296,2111.03900,8048.52900
DN MID L XING,2111.02800,8048.63400
DN MID SA:DJA298,2110.87300,8049.08300
DN MID SA:DJA300,2110.63000,8049.61800
DN MID A:DJA302,2110.37000,8050.16600
DN MID A:DJA304,2109.98700,8051.03300
DN MID DJ OPEN,2109.86200,8051.34800
DN MID A:DJA306,2109.74600,8051.63900
DN MID SA:DJA308,2109.47660,8052.33740
DN MID L XING,2109.43110,8052.45010
DN MID SA:DJA310,2109.05410,8052.87450
DN MID A:DJA312,2108.61630,8053.27970
DN MID SA G:DJA314,2108.20910,8053.66500
DN MID L XING,2108.11840,8053.75040
DN MID A:DJA316,2107.79630,8054.06390
DN MID SA G:DJA318,2107.83320,8054.98090
DN MID L XING,2107.84520,8055.10540
DN MID SA G:DJA320,2107.76680,8055.75290
DN MID L XING,2107.75020,8055.87250
DN MID SA:DJA322,2107.58560,8056.26510
DN MID SA:DJA324,2107.34200,8056.76300
DN MID SA G:DJA326,2107.22370,8056.99310
DN MID L XING,2107.17900,8057.08200
DN MID SA G:DJA328,2106.78400,8057.89200
DN MID L XING,2106.73300,8057.99600
DN MID A:DJA330,2106.53500,8058.81300
DN MID A:DJA332,2106.42100,8059.72300
DN MID A:DJA334,2106.34600,8100.32600
DN MID A:DJA336,2106.23700,8101.20000
DN MID RJN HOME,2106.20800,8101.54400
DN MID RJN STR,2106.02450,8102.45940
DN MID L XING,2106.01250,8102.54630
DN MID RJN ADV STR,2106.02490,8102.66250
DN MID DJ OPEN,2106.61790,8103.65670
DN MID A:DJA340,2106.72350,8103.99290
DN MID A:DJA342,2107.45320,8104.85430
DN MID PMS HOME,2108.12980,8105.58780
DN MID PMS STR,2108.62420,8106.13370
DN MID A:DJA344,2109.37770,8106.98000
DN MID A:DJA346,2109.95700,8107.61980
DN MID MUP HOME,2110.74920,8108.49600
DN MID L XING,2110.82380,8108.58150
DN MID MUP STR,2111.05960,8109.05410
DN MID SA G:DJA348,2111.13590,8109.30190
DN MID L XING,2111.17110,8109.40470
DN MID A:DJA350,2111.40350,8110.06460
DN MID SA G:DJA352,2111.67160,8110.81720
DN MID L XING,2111.71800,8110.94820
DN MID A:DJA354,2111.94280,8111.58950
DN MID DJ OPEN,2112.05930,8112.00240
DN MID RSM HOME,2112.17230,8112.49650
DN MID RSM STR,2112.31300,8113.12940
DN MID RSM ADV STR,2112.22410,8113.67080
DN MID A:A358,2111.97460,8114.68060
